Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population_2024
Unity,SS06,Abiemnhom,,SS0601,40765
Abyei Administrative Area,SS00,Abyei Administrative Area,Abyei Administrative Area,SS0001,133958
Jonglei,SS03,Akobo,,SS0301,90839
Northern Bahr el Ghazal,SS05,Aweil Centre,,SS0501,124989
Northern Bahr el Ghazal,SS05,Aweil East,,SS0502,807040
Northern Bahr el Ghazal,SS05,Aweil North,,SS0503,362131
Northern Bahr el Ghazal,SS05,Aweil South,,SS0504,239810
Northern Bahr el Ghazal,SS05,Aweil West,,SS0505,390371
Lakes,SS04,Awerial,,SS0401,144680
Jonglei,SS03,Ayod,,SS0302,114077
Upper Nile,SS07,Baliet,,SS0701,29751
Jonglei,SS03,Bor South,,SS0303,160878
Eastern Equatoria,SS02,Budi,,SS0201,101473
Jonglei,SS03,Canal/Pigi,Pigi,SS0304,29721
Lakes,SS04,Cueibet,,SS0402,296845
Jonglei,SS03,Duk,,SS0305,56187
Western Equatoria,SS10,Ezo,,SS1001,49341
Jonglei,SS03,Fangak,Old Fangak,SS0306,109657
Upper Nile,SS07,Fashoda,,SS0702,52384
Warrap,SS08,Gogrial East,,SS0801,273977
Warrap,SS08,Gogrial West,,SS0802,582379
Unity,SS06,Guit,,SS0602,49582
Western Equatoria,SS10,Ibba,,SS1002,34992
Eastern Equatoria,SS02,Ikotos,,SS0202,61229
Central Equatoria,SS01,Juba,,SS0101,690920
Western Bahr el Ghazal,SS09,Jur River,,SS0901,245725
Central Equatoria,SS01,Kajo-keji,,SS0102,86973
Eastern Equatoria,SS02,Kapoeta East,,SS0203,319113
Eastern Equatoria,SS02,Kapoeta North,,SS0204,103176
Eastern Equatoria,SS02,Kapoeta South,,SS0205,67827
Unity,SS06,Koch,,SS0603,55478
Eastern Equatoria,SS02,Lafon,Lafon/Lopa,SS0206,85210
Central Equatoria,SS01,Lainya,,SS0103,82153
Unity,SS06,Leer,,SS0604,92227
Upper Nile,SS07,Longochuk,,SS0703,44205
Upper Nile,SS07,Luakpiny/Nasir,,SS0704,71780
Upper Nile,SS07,Maban,,SS0705,267494
Eastern Equatoria,SS02,Magwi,,SS0207,145384
Upper Nile,SS07,Maiwut,,SS0706,35839
Upper Nile,SS07,Malakal,,SS0707,76231
Upper Nile,SS07,Manyo,,SS0708,19860
Western Equatoria,SS10,Maridi,,SS1003,87140
Unity,SS06,Mayendit,,SS0605,66163
Unity,SS06,Mayom,,SS0606,181437
Upper Nile,SS07,Melut,,SS0709,65142
Central Equatoria,SS01,Morobo,,SS0104,39642
Western Equatoria,SS10,Mundri East,,SS1004,80190
Western Equatoria,SS10,Mundri West,,SS1005,52386
Western Equatoria,SS10,Mvolo,,SS1006,65339
Western Equatoria,SS10,Nagero,,SS1007,26738
Jonglei,SS03,Nyirol,,SS0307,63180
Western Equatoria,SS10,Nzara,,SS1008,69044
Unity,SS06,Panyijiar,,SS0607,139208
Upper Nile,SS07,Panyikang,,SS0710,29779
Unity,SS06,Pariang,,SS0608,193649
Jonglei,SS03,Pibor,,SS0308,219744
Jonglei,SS03,Pochalla,,SS0309,20357
Western Bahr el Ghazal,SS09,Raga,Raja,SS0902,108343
Upper Nile,SS07,Renk,,SS0711,38976
Unity,SS06,Rubkona,,SS0609,308683
Lakes,SS04,Rumbek Centre,,SS0403,134572
Lakes,SS04,Rumbek East,,SS0404,227972
Lakes,SS04,Rumbek North,,SS0405,73963
Western Equatoria,SS10,Tambura,,SS1009,59089
Central Equatoria,SS01,Terekeka,,SS0105,242991
Warrap,SS08,Tonj East,,SS0803,405663
Warrap,SS08,Tonj North,,SS0804,651355
Warrap,SS08,Tonj South,,SS0805,292317
Eastern Equatoria,SS02,Torit,,SS0208,98491
Warrap,SS08,Twic,,SS0806,433796
Jonglei,SS03,Twic East,,SS0310,51269
Upper Nile,SS07,Ulang,,SS0712,58708
Jonglei,SS04,Uror,,SS0311,115296
Western Bahr el Ghazal,SS09,Wau,,SS0903,208486
Lakes,SS04,Wulu,,SS0406,69428
Western Equatoria,SS10,Yambio,,SS1010,138976
Central Equatoria,SS01,Yei,,SS0106,181841
Lakes,SS04,Yirol East,,SS0407,136988
Lakes,SS04,Yirol West,,SS0408,181026
