ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Water,Sanitation,Hygiene,WASH shock*,Flood impact,Cyclone impact,Water scarcity impact,Extreme temperature impact,Displacement impact,Cholera impact,Violence impact,Flood exposure,Cyclone exposure,Water scarcity exposure,Extreme temperature exposure,Cholera exposure,Vaccination,NTD,Diarrhoea,Acute malnutrition,Chronic malnutrition,Illiteracy,Poverty
Abyei Region,SS00,Abyei Region,SS0001,0,0,1,1,0,invalid,0,0,1,1,1,1,invalid,1,1,1,0,0,1,1,1,1,1
Central Equatoria,SS01,Juba,SS0101,0,0,0,1,0,invalid,1,0,0,1,1,1,invalid,0,0,1,0,1,0,1,0,0,0
Central Equatoria,SS01,Kajo-keji,SS0102,1,0,0,0,0,invalid,1,0,0,0,0,0,invalid,0,0,0,0,1,0,0,0,0,0
Central Equatoria,SS01,Lainya,SS0103,1,0,0,1,0,invalid,1,1,0,0,0,1,invalid,0,0,0,0,1,0,0,0,0,0
Central Equatoria,SS01,Morobo,SS0104,1,0,0,1,0,invalid,1,0,0,0,1,1,invalid,0,0,0,1,1,0,0,0,0,1
Central Equatoria,SS01,Terekeka,SS0105,1,1,1,1,0,invalid,1,1,0,1,0,1,invalid,0,0,1,0,1,0,0,0,1,1
Central Equatoria,SS01,Yei,SS0106,1,0,0,1,0,invalid,1,0,0,0,1,1,invalid,0,0,0,0,1,0,0,0,0,0
Eastern Equatoria,SS02,Budi,SS0201,0,1,0,0,0,invalid,1,0,0,1,1,0,invalid,0,0,1,0,0,0,1,0,0,1
Eastern Equatoria,SS02,Ikotos,SS0202,0,0,1,0,0,invalid,1,0,0,1,0,1,invalid,0,0,1,0,0,1,0,0,0,1
Eastern Equatoria,SS02,Kapoeta East,SS0203,1,1,1,0,0,invalid,1,0,0,1,0,0,invalid,0,0,1,1,0,0,0,0,1,1
Eastern Equatoria,SS02,Kapoeta North,SS0204,1,1,0,1,1,invalid,1,0,0,0,0,0,invalid,0,0,0,0,0,0,0,0,1,1
Eastern Equatoria,SS02,Kapoeta South,SS0205,0,1,0,0,0,invalid,1,0,1,1,0,0,invalid,0,0,1,1,0,0,0,0,1,1
Eastern Equatoria,SS02,Lafon,SS0206,0,1,1,1,1,invalid,1,0,1,1,0,1,invalid,0,0,1,0,1,0,0,0,0,1
Eastern Equatoria,SS02,Magwi,SS0207,0,0,0,1,0,invalid,1,0,0,1,0,1,invalid,0,0,1,0,1,0,0,0,0,1
Eastern Equatoria,SS02,Torit,SS0208,1,0,0,1,0,invalid,1,1,0,1,1,1,invalid,0,0,1,0,1,1,0,0,0,0
Jonglei,SS03,Akobo,SS0301,1,1,1,1,0,invalid,1,0,0,1,1,1,invalid,0,0,1,0,0,1,1,1,1,0
Jonglei,SS03,Ayod,SS0302,1,1,1,1,1,invalid,1,0,1,1,1,1,invalid,0,0,1,1,1,1,0,1,1,1
Jonglei,SS03,Bor South,SS0303,0,1,0,1,1,invalid,1,0,0,1,1,1,invalid,0,0,1,0,1,0,1,1,1,1
Jonglei,SS03,Canal/Pigi,SS0304,1,1,1,0,0,invalid,1,0,0,1,1,1,invalid,1,0,1,1,1,0,1,1,1,1
Jonglei,SS03,Duk,SS0305,0,1,0,0,0,invalid,1,0,0,1,1,1,invalid,0,0,1,1,1,0,1,1,1,1
